	Locus_allele	Shaem.1	Shaem.3	Shaem.4	Smans.1
1	Shae_10	NA	NA	NA	NA
2	n	6847	3367	3408	2833
3	164	0	0	0	1
4	173	0.000000000	0.000000000	0.001675424	0.000000000
5	176	0.000000000	0.000000000	0.001968786	0.000000000
6	179	0.000000000	0.001108412	0.001936190	0.000000000
7	182	0.13046148	0.09979567	0.07301459	0.00000000
8	185	0.2070442	0.2765441	0.2867387	0.0000000
9	188	0.1251151	0.2940666	0.3701579	0.0000000
10	191	0.2957825	0.2040250	0.1965266	0.0000000
11	194	0.2111081	0.1221085	0.0462404	0.0000000
12	197	0.016201571	0.001031305	0.004856774	0.000000000
13	200	0.000000000	0.000000000	0.001851441	0.000000000
14	203	0.011433216	0.001320456	0.012353808	0.000000000
15	206	0.000000000	0.000000000	0.002679375	0.000000000
16	212	0.002853788	0.000000000	0.000000000	0.000000000
17	D105	NA	NA	NA	NA
18	n	6847	3367	3408	2833
19	185	0.0000000	0	0.1619348	0
20	201	0.9284326	0	0.1188223	0
21	209	0.07156744	0	0.28741675	0
22	213	0.0000000	0	0.4318261	0
23	C114	NA	NA	NA	NA
24	n	6847	3367	3408	2833
25	208	0.000000000	0.003232333	0.006972797	0
26	211	0.000000000	0.000000000	0.009312354	0
27	217	0.000000000	0.000000000	0.004862608	0
28	220	0.00000000	0.00000000	0.00789027	0
29	229	0.000000000	0.009301677	0.020092665	0
30	232	0.0000000	0.2196823	0.4930043	0
31	235	0.000000000	0.000000000	0.009174733	0
32	238	0.000000000	0.003092807	0.000000000	0
33	241	0.02974322	0.01820803	0.01445020	0
34	244	0.2528531	0.1510127	0.1400064	0
35	247	0.03409415	0.11222473	0.06335153	0
36	250	0.15249643	0.12364254	0.05491078	0
37	253	0.50941512	0.04104365	0.01114730	0
38	256	0.02139800	0.09197033	0.05380981	0
39	259	0.00000000	0.02681208	0.00000000	0
40	262	0.000000000	0.005022905	0.000000000	0
41	265	0.000000000	0.008325001	0.000000000	0
42	268	0.00000000	0.03392787	0.01848709	0
43	271	0.00000000	0.12617724	0.08486628	0
44	274	0.000000000	0.026323745	0.007660902	0
45	Sha104176	NA	NA	NA	NA
46	n	6847	3367	3408	2833
47	304	0.33230014	0.13366265	0.05638848	0
48	307	0.006844892	0.000000000	0.000000000	0
49	310	0.28974558	0.02213889	0.00000000	0
50	313	0.00000000	0.01445879	0.00000000	0
51	316	0.00000000	0.19874522	0.06112604	0
52	319	0.02059925	0.18223120	0.26432100	0
53	322	0.1881700	0.1652124	0.1426178	0
54	325	0.1623402	0.2044783	0.3863420	0
55	328	0.00000000	0.07442129	0.08920473	0
56	331	0.00000000	0.00465133	0.00000000	0
57	C102	NA	NA	NA	NA
58	n	6847	3367	3408	2833
59	170	0.0000000	0.0000000	0.1071429	0
60	173	0.00000000	0.00000000	0.06873315	0
61	176	0.00000000	0.00000000	0.07412399	0
62	179	0.0000000	0.1397878	0.3443396	0
63	182	0.7752675	0.6458055	0.0000000	0
64	185	0.224732461	0.009360792	0.405660377	0
65	188	0.0000000	0.2050459	0.0000000	0
66	Shae_12	NA	NA	NA	NA
67	n	6847	3367	3408	2833
68	229	0.11682963	0.01384345	0.00000000	0
69	238	0.000000000	0.033232713	0.005288333	0
70	241	0.8323148	0.5317375	0.4663272	0
71	247	0.006509725	0.000000000	0.000000000	0
72	250	0.004756085	0.011232011	0.010506530	0
73	253	0.03958975	0.39166023	0.51787793	0
74	256	0.000000000	0.002358722	0.000000000	0
75	259	0.00000000	0.01593542	0.00000000	0
76	C146	NA	NA	NA	NA
77	n	6847	3367	3408	2833
78	144	0.7681971	0.0000000	0.0000000	0
79	156	0.005407135	0.000000000	0.011790548	0
80	159	0.08331467	0.03940601	0.19081306	0
81	162	0.07896337	0.15322714	0.41253997	0
82	165	0.04770437	0.04056745	0.06557483	0
83	168	0.0000000	0.2117969	0.1148690	0
84	171	0.01641337	0.29398263	0.07626708	0
85	174	0.00000000	0.07303247	0.07894822	0
86	177	0.00000000	0.04441126	0.00629906	0
87	180	0.00000000	0.10624412	0.01272733	0
88	183	0.00000000	0.03733201	0.03017088	0
89	Shae_14	NA	NA	NA	NA
90	n	6847	3367	3408	2833
91	170	0	0.01352904	0.00000000	0
92	178	0	0.02846203	0.00000000	0
93	190	0	0.2673899	0.1422106	0
94	194	0	0.04530951	0.00000000	0
95	198	0	0.05513720	0.06908051	0
96	202	0	0.1110402	0.0000000	0
97	206	0	0.08194001	0.28573130	0
98	210	0	0.02616465	0.07837065	0
99	214	0	0.1767709	0.3363506	0
100	218	0	0.03178047	0.00000000	0
101	222	0	0.02310147	0.00000000	0
102	226	0	0.1393746	0.0000000	0
103	234	0	0.00000000	0.08825631	0
104	Shae_05	NA	NA	NA	NA
105	n	6847	3367	3408	2833
106	265	0.29982706	0.08085351	0.00000000	0
107	268	0.000000000	0.009160473	0.008378461	0
108	271	0.02572417	0.26516003	0.20366302	0
109	274	0.4513078	0.5061298	0.5346122	0
110	277	0.02653480	0.08131977	0.04707776	0
111	280	0.196606139	0.002742657	0.099570859	0
112	283	0.00000000	0.02611009	0.10669766	0
113	286	0.00000000	0.02852363	0.00000000	0
