	pos	hei	wei	ID	filename
1.2a_IV_A01_2012-05-07.fsa.1	0	0	0	1.2a_IV_A01_2012-05-07.fsa.1	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.2	0	0	0	1.2a_IV_A01_2012-05-07.fsa.2	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.3	0	0	0	1.2a_IV_A01_2012-05-07.fsa.3	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.4	0	0	0	1.2a_IV_A01_2012-05-07.fsa.4	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.5	0	0	0	1.2a_IV_A01_2012-05-07.fsa.5	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.6	0	0	0	1.2a_IV_A01_2012-05-07.fsa.6	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.7	0	0	0	1.2a_IV_A01_2012-05-07.fsa.7	1.2a_IV_A01_2012-05-07.fsa
1.2a_IV_A01_2012-05-07.fsa.8	0	0	0	1.2a_IV_A01_2012-05-07.fsa.8	1.2a_IV_A01_2012-05-07.fsa
1.2a_V_A01_2012-05-07.fsa.1	3341	417	215	1.2a_V_A01_2012-05-07.fsa.1	1.2a_V_A01_2012-05-07.fsa
1.2a_V_A01_2012-05-07.fsa.2	3468	140	227	1.2a_V_A01_2012-05-07.fsa.2	1.2a_V_A01_2012-05-07.fsa
1.2a_V_A01_2012-05-07.fsa.3	3592	282	239	1.2a_V_A01_2012-05-07.fsa.3	1.2a_V_A01_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.1	0	0	0	1.2b_IV_A07_2012-05-07.fsa.1	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.2	0	0	0	1.2b_IV_A07_2012-05-07.fsa.2	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.3	0	0	0	1.2b_IV_A07_2012-05-07.fsa.3	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.4	0	0	0	1.2b_IV_A07_2012-05-07.fsa.4	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.5	0	0	0	1.2b_IV_A07_2012-05-07.fsa.5	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.6	0	0	0	1.2b_IV_A07_2012-05-07.fsa.6	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.7	0	0	0	1.2b_IV_A07_2012-05-07.fsa.7	1.2b_IV_A07_2012-05-07.fsa
1.2b_IV_A07_2012-05-07.fsa.8	0	0	0	1.2b_IV_A07_2012-05-07.fsa.8	1.2b_IV_A07_2012-05-07.fsa
1.2b_V_A07_2012-05-07.fsa.1	3269	439	215	1.2b_V_A07_2012-05-07.fsa.1	1.2b_V_A07_2012-05-07.fsa
1.2b_V_A07_2012-05-07.fsa.2	3395	627	227	1.2b_V_A07_2012-05-07.fsa.2	1.2b_V_A07_2012-05-07.fsa
1.2b_V_A07_2012-05-07.fsa.3	3425	199	231	1.2b_V_A07_2012-05-07.fsa.3	1.2b_V_A07_2012-05-07.fsa
1.2b_V_A07_2012-05-07.fsa.4	3518	1387	239	1.2b_V_A07_2012-05-07.fsa.4	1.2b_V_A07_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.1	0	0	0	108.3a_IV_H01_2012-05-07.fsa.1	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.2	0	0	0	108.3a_IV_H01_2012-05-07.fsa.2	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.3	0	0	0	108.3a_IV_H01_2012-05-07.fsa.3	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.4	0	0	0	108.3a_IV_H01_2012-05-07.fsa.4	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.5	0	0	0	108.3a_IV_H01_2012-05-07.fsa.5	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.6	0	0	0	108.3a_IV_H01_2012-05-07.fsa.6	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.7	0	0	0	108.3a_IV_H01_2012-05-07.fsa.7	108.3a_IV_H01_2012-05-07.fsa
108.3a_IV_H01_2012-05-07.fsa.8	0	0	0	108.3a_IV_H01_2012-05-07.fsa.8	108.3a_IV_H01_2012-05-07.fsa
108.3a_V_H01_2012-05-07.fsa.1	3420	374	215	108.3a_V_H01_2012-05-07.fsa.1	108.3a_V_H01_2012-05-07.fsa
108.3a_V_H01_2012-05-07.fsa.2	3544	3088	227	108.3a_V_H01_2012-05-07.fsa.2	108.3a_V_H01_2012-05-07.fsa
108.3a_V_H01_2012-05-07.fsa.3	3575	1805	231	108.3a_V_H01_2012-05-07.fsa.3	108.3a_V_H01_2012-05-07.fsa
108.3a_V_H01_2012-05-07.fsa.4	3618	783	235	108.3a_V_H01_2012-05-07.fsa.4	108.3a_V_H01_2012-05-07.fsa
108.3a_V_H01_2012-05-07.fsa.5	3670	2035	239	108.3a_V_H01_2012-05-07.fsa.5	108.3a_V_H01_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.1	0	0	0	108.3b_IV_H07_2012-05-07.fsa.1	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.2	0	0	0	108.3b_IV_H07_2012-05-07.fsa.2	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.3	0	0	0	108.3b_IV_H07_2012-05-07.fsa.3	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.4	0	0	0	108.3b_IV_H07_2012-05-07.fsa.4	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.5	0	0	0	108.3b_IV_H07_2012-05-07.fsa.5	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.6	0	0	0	108.3b_IV_H07_2012-05-07.fsa.6	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.7	0	0	0	108.3b_IV_H07_2012-05-07.fsa.7	108.3b_IV_H07_2012-05-07.fsa
108.3b_IV_H07_2012-05-07.fsa.8	0	0	0	108.3b_IV_H07_2012-05-07.fsa.8	108.3b_IV_H07_2012-05-07.fsa
